Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Idade,25-54,NO,Norway,2024,15.9,3,4,Inicio,974,15.7
Idade,25-54,NO,Norway,2024,15.9,3,4,Fim,976,15.9
Idade,25-54,PL,Poland,2024,14.5,3,4,Inicio,974,16
Idade,25-54,PL,Poland,2024,14.5,3,4,Fim,976,14.5
Idade,25-54,PT,Portugal,2024,16,3,4,Inicio,974,19.7
Idade,25-54,PT,Portugal,2024,16,3,4,Fim,976,16
Idade,25-54,RO,Romania,2024,24,3,4,Inicio,974,27.9
Idade,25-54,RO,Romania,2024,24,3,4,Fim,976,24
Idade,25-54,RS,Serbia,2024,20.8,3,4,Inicio,974,24.3
Idade,25-54,RS,Serbia,2024,20.8,3,4,Fim,976,20.8
Idade,25-54,SE,Sweden,2024,17.9,3,4,Inicio,974,17.5
Idade,25-54,SE,Sweden,2024,17.9,3,4,Fim,976,17.9
Idade,25-54,SI,Slovenia,2024,11.2,3,4,Inicio,974,14.4
Idade,25-54,SI,Slovenia,2024,11.2,3,4,Fim,976,11.2
Idade,25-54,SK,Slovakia,2024,17.9,3,4,Inicio,974,18.3
Idade,25-54,SK,Slovakia,2024,17.9,3,4,Fim,976,17.9
Idade,25-54,TR,Türkiye,2024,25.7,3,4,Inicio,974,30.4
Idade,25-54,TR,Türkiye,2024,25.7,3,4,Fim,976,25.7
Idade,55-64,AT,Austria,2024,15.6,3,5,Inicio,971,16.9
Idade,55-64,AT,Austria,2024,15.6,3,5,Fim,973,15.6
Idade,55-64,BE,Belgium,2024,22.1,3,5,Inicio,971,18.2
Idade,55-64,BE,Belgium,2024,22.1,3,5,Fim,973,22.1
Idade,55-64,BG,Bulgaria,2024,25.4,3,5,Inicio,971,30.3
Idade,55-64,BG,Bulgaria,2024,25.4,3,5,Fim,973,25.4
Idade,55-64,CY,Cyprus,2024,13.8,3,5,Inicio,971,17.1
Idade,55-64,CY,Cyprus,2024,13.8,3,5,Fim,973,13.8
Idade,55-64,CZ,Czechia,2024,12.1,3,5,Inicio,971,11.3
Idade,55-64,CZ,Czechia,2024,12.1,3,5,Fim,973,12.1
Idade,55-64,DE,Germany,2024,20.1,3,5,Inicio,971,21.1
Idade,55-64,DE,Germany,2024,20.1,3,5,Fim,973,20.1
Idade,55-64,DK,Denmark,2024,15.8,3,5,Inicio,971,18
Idade,55-64,DK,Denmark,2024,15.8,3,5,Fim,973,15.8
Idade,55-64,EE,Estonia,2024,20.4,3,5,Inicio,971,22.2
Idade,55-64,EE,Estonia,2024,20.4,3,5,Fim,973,20.4
Idade,55-64,EL,Greece,2024,28.6,3,5,Inicio,971,26.9
Idade,55-64,EL,Greece,2024,28.6,3,5,Fim,973,28.6
Idade,55-64,ES,Spain,2024,25.4,3,5,Inicio,971,25.8
Idade,55-64,ES,Spain,2024,25.4,3,5,Fim,973,25.4
Idade,55-64,FI,Finland,2024,16,3,5,Inicio,971,16.8
Idade,55-64,FI,Finland,2024,16,3,5,Fim,973,16
Idade,55-64,FR,France,2024,21.5,3,5,Inicio,971,20.5
Idade,55-64,FR,France,2024,21.5,3,5,Fim,973,21.5
Idade,55-64,HR,Croatia,2024,22.1,3,5,Inicio,971,21.7
Idade,55-64,HR,Croatia,2024,22.1,3,5,Fim,973,22.1
Idade,55-64,HU,Hungary,2024,21.4,3,5,Inicio,971,20.2
Idade,55-64,HU,Hungary,2024,21.4,3,5,Fim,973,21.4
Idade,55-64,IE,Ireland,2024,18.2,3,5,Inicio,971,17.1
Idade,55-64,IE,Ireland,2024,18.2,3,5,Fim,973,18.2
Idade,55-64,IT,Italy,2024,23.1,3,5,Inicio,971,23.1
Idade,55-64,IT,Italy,2024,23.1,3,5,Fim,973,23.1
Idade,55-64,LT,Lithuania,2024,27.7,3,5,Inicio,971,25.8
Idade,55-64,LT,Lithuania,2024,27.7,3,5,Fim,973,27.7
Idade,55-64,LU,Luxembourg,2024,18.5,3,5,Inicio,971,20
Idade,55-64,LU,Luxembourg,2024,18.5,3,5,Fim,973,18.5
Idade,55-64,LV,Latvia,2024,26.7,3,5,Inicio,971,24.3
Idade,55-64,LV,Latvia,2024,26.7,3,5,Fim,973,26.7
Idade,55-64,MT,Malta,2024,19.5,3,5,Inicio,971,19.7
Idade,55-64,MT,Malta,2024,19.5,3,5,Fim,973,19.5
Idade,55-64,NL,Netherlands,2024,16.5,3,5,Inicio,971,15.4
Idade,55-64,NL,Netherlands,2024,16.5,3,5,Fim,973,16.5
Idade,55-64,NO,Norway,2024,10.9,3,5,Inicio,971,15.7
Idade,55-64,NO,Norway,2024,10.9,3,5,Fim,973,10.9
Idade,55-64,PL,Poland,2024,17.9,3,5,Inicio,971,16
Idade,55-64,PL,Poland,2024,17.9,3,5,Fim,973,17.9
Idade,55-64,PT,Portugal,2024,21.7,3,5,Inicio,971,19.7
Idade,55-64,PT,Portugal,2024,21.7,3,5,Fim,973,21.7
Idade,55-64,RO,Romania,2024,28.2,3,5,Inicio,971,27.9
Idade,55-64,RO,Romania,2024,28.2,3,5,Fim,973,28.2
Idade,55-64,RS,Serbia,2024,28.4,3,5,Inicio,971,24.3
Idade,55-64,RS,Serbia,2024,28.4,3,5,Fim,973,28.4
Idade,55-64,SE,Sweden,2024,14.4,3,5,Inicio,971,17.5
Idade,55-64,SE,Sweden,2024,14.4,3,5,Fim,973,14.4
Idade,55-64,SI,Slovenia,2024,16.9,3,5,Inicio,971,14.4
Idade,55-64,SI,Slovenia,2024,16.9,3,5,Fim,973,16.9
Idade,55-64,SK,Slovakia,2024,18.2,3,5,Inicio,971,18.3
Idade,55-64,SK,Slovakia,2024,18.2,3,5,Fim,973,18.2
Idade,55-64,TR,Türkiye,2024,28.9,3,5,Inicio,971,30.4
Idade,55-64,TR,Türkiye,2024,28.9,3,5,Fim,973,28.9
Idade,65-74,AT,Austria,2024,16.8,3,6,Inicio,968,16.9
Idade,65-74,AT,Austria,2024,16.8,3,6,Fim,970,16.8
Idade,65-74,BE,Belgium,2024,13.2,3,6,Inicio,968,18.2
Idade,65-74,BE,Belgium,2024,13.2,3,6,Fim,970,13.2
Idade,65-74,BG,Bulgaria,2024,34.3,3,6,Inicio,968,30.3
Idade,65-74,BG,Bulgaria,2024,34.3,3,6,Fim,970,34.3
Idade,65-74,CY,Cyprus,2024,24,3,6,Inicio,968,17.1
Idade,65-74,CY,Cyprus,2024,24,3,6,Fim,970,24
Idade,65-74,CZ,Czechia,2024,8.6,3,6,Inicio,968,11.3
Idade,65-74,CZ,Czechia,2024,8.6,3,6,Fim,970,8.6
