Data,COICOP,Valor
2024-07-15,Total,122.52
2024-07-15,Serviços Postais,151.79
2024-08-15,Total,122.37
2024-08-15,Serviços Postais,151.79
2024-09-15,Total,124.28
2024-09-15,Serviços Postais,151.79
2024-10-15,Total,123.84
2024-10-15,Serviços Postais,151.79
2024-11-15,Total,122.58
2024-11-15,Serviços Postais,151.79
2024-12-15,Total,122.24
2024-12-15,Serviços Postais,151.79
2025-01-15,Total,121.55
2025-01-15,Serviços Postais,151.79
2025-02-15,Total,121.46
2025-02-15,Serviços Postais,161.14
2025-03-15,Total,123.54
2025-03-15,Serviços Postais,161.14
2025-04-15,Total,125.12
