Ano,Mes,Origem,Dormidas
2021,3,Não Residente,126484
2021,4,Não Residente,206271
2021,5,Não Residente,658342
2021,6,Não Residente,1166372
2021,7,Não Residente,1505624
2021,8,Não Residente,2697701
2021,9,Não Residente,2546593
2021,10,Não Residente,3051760
2021,11,Não Residente,1953113
2021,12,Não Residente,1206275
2022,1,Não Residente,954051
2022,2,Não Residente,1481858
2022,3,Não Residente,2294193
2022,4,Não Residente,3470079
2022,5,Não Residente,3981872
2022,6,Não Residente,4058921
2022,7,Não Residente,4767565
2022,8,Não Residente,5081239
2022,9,Não Residente,4387050
2022,10,Não Residente,4190746
2022,11,Não Residente,2457410
2022,12,Não Residente,1918905
2023,1,Não Residente,1904142
2023,2,Não Residente,2245373
2023,3,Não Residente,3018390
2023,4,Não Residente,4022762
2023,5,Não Residente,4477013
2023,6,Não Residente,4359388
2023,7,Não Residente,4904701
2023,8,Não Residente,5371285
2023,9,Não Residente,4849410
2023,10,Não Residente,4658657
2023,11,Não Residente,2716023
2023,12,Não Residente,2067076
2024,1,Não Residente,1947529
2024,2,Não Residente,2430694
2024,3,Não Residente,3412420
2024,4,Não Residente,3966099
2024,5,Não Residente,4785845
2024,6,Não Residente,4597334
2024,7,Não Residente,5126038
2024,8,Não Residente,5496733
2024,9,Não Residente,4990609
2024,10,Não Residente,4783974
2024,11,Não Residente,2828013
2024,12,Não Residente,2168134
2025,1,Não Residente,2029840
2025,2,Não Residente,2363802
2025,3,Não Residente,3292329
2025,4,Não Residente,4277543
2025,5,Não Residente,4813000
2025,6,Não Residente,4714512
2025,7,Não Residente,5280841
