GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
72065,43.3718,-3.72796,43,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
72066,43.38476,-3.44972,37,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
72067,43.35996,-3.11015,30,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
72068,43.40961,-2.83357,74,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
73047,42.77303,-9.08922,38,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73048,42.77193,-8.89351,116,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73049,42.82642,-8.60748,119,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73050,42.88147,-8.30933,260,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73051,42.93564,-8.0107,408,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73052,42.98894,-7.71158,478,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73053,43.04136,-7.412,449,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73054,43.09291,-7.11194,589,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
73055,43.14357,-6.81143,568,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73056,43.19335,-6.51046,563,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73057,43.24224,-6.20905,516,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73058,43.29025,-5.90719,228,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73059,43.33737,-5.6049,272,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
